,Aged_1y.tif,Aged_1y_II.tif,Aged_1y_III.tif,Aged_2y.tif,Aged_2y_II.tif,Aged_2y_III.tif,OVX 3m III.tif,OVX 3m.tif,OVX_3m_II.tif,RANKL Ctrl I.tif,RANKL Ctrl II.tif,RANKL Ctrl.tif,RANKL_Tg_I.tif,RANKL_Tg_II.tif,RANKL_Tg_III.tif,SO 3m II.tif,SO 3m III.tif,SO 3m.tif,WT 3m II.tif,WT 3m III.tif,WT 3m.tif,WT 6m II.tif,WT 6m III.tif,WT 6m.tif,WT 8m II.tif,WT 8m III.tif,WT 8m.tif,p62-1y.tif,p62-1y_II.tif,p62-1y_III.tif,p62-2y.tif,p62-2y_II.tif,p62-2y_III.tif,p62-3m.tif,p62-3m_II.tif,p62-3m_III.tif
Aged_1y.tif,0.0000,43.9173,50.5506,55.1526,63.3503,65.1210,44.2140,58.0707,66.7879,27.4633,31.7281,27.8150,78.3058,72.3671,29.3141,29.0292,36.9129,29.9570,30.3073,30.8558,36.3124,29.3828,30.0782,31.6150,38.0969,54.3746,38.6820,73.2364,36.6514,70.4029,90.3138,62.1789,59.8124,13.1500,15.6552,16.7970
Aged_1y_II.tif,43.9173,0.0000,22.0715,24.4988,33.1524,31.9389,7.3923,39.9609,37.9737,53.2431,55.5088,53.4033,61.0777,49.5663,21.5609,54.0445,58.6481,54.5527,54.6825,55.0506,58.2421,54.2421,54.5907,55.4608,59.3189,70.9014,59.7361,43.3242,17.0264,42.1731,74.2760,38.9696,32.5149,39.1306,48.8247,45.8504
Aged_1y_III.tif,50.5506,22.0715,0.0000,20.7183,30.6843,30.0203,20.7673,23.2326,37.9527,59.6022,61.6888,59.7582,49.7147,39.6582,31.5478,60.3548,64.5106,60.8007,60.9648,61.2617,64.1806,60.5370,60.8571,61.6545,65.2117,75.8972,65.5610,41.2926,22.7594,42.3102,70.4041,33.0980,25.5640,46.5093,55.3730,52.6338
Aged_2y.tif,55.1526,24.4988,20.7183,0.0000,18.4617,17.0471,21.7581,27.4398,26.4377,63.0356,65.0862,63.1475,46.3206,34.5942,37.7157,63.8614,67.8103,64.2743,64.4000,64.7748,67.5089,64.0539,64.3114,65.1231,68.4780,78.8102,68.8482,28.7512,25.9709,30.6387,61.1768,21.7133,24.9033,51.2945,59.0206,56.8803
Aged_2y_II.tif,63.3503,33.1524,30.6843,18.4617,0.0000,12.2255,31.4546,35.7299,18.0387,67.8953,69.6082,67.9515,43.3791,24.1326,46.0918,68.4372,71.3125,68.8236,68.8902,69.2236,71.5700,68.6056,68.7173,69.7775,72.9779,82.5814,73.1741,23.3341,36.9264,23.1171,52.9659,22.3326,24.6894,59.7028,65.3608,62.1604
Aged_2y_III.tif,65.1210,31.9389,30.0203,17.0471,12.2255,0.0000,30.2679,36.8193,19.3895,71.6675,73.4340,71.7840,44.6141,30.5131,47.0182,72.3493,75.7162,72.7355,72.7936,73.1606,75.5707,72.5291,72.7362,73.5598,76.5898,85.7776,76.8760,18.5070,37.8226,19.3957,56.4495,21.8931,25.8345,61.5185,68.3281,65.9708
OVX 3m III.tif,44.2140,7.3923,20.7673,21.7581,31.4546,30.2679,0.0000,37.8635,35.8916,54.5789,56.8404,54.7375,59.3123,47.9917,22.1820,55.4170,59.9313,55.8999,56.0879,56.4334,59.5672,55.6158,55.9592,56.8232,60.6665,72.0624,61.0481,42.3554,14.5837,40.5149,72.3422,36.6219,31.2739,39.7180,49.6594,46.5847
OVX 3m.tif,58.0707,39.9609,23.2326,27.4398,35.7299,36.8193,37.8635,0.0000,44.4111,66.6598,68.5934,66.7835,42.9623,37.1527,44.1922,67.4022,71.1465,67.8038,67.9310,68.2546,70.8671,67.5844,67.8431,68.6007,71.8077,81.7007,72.1476,43.3083,34.9082,47.5769,65.8930,33.5198,33.6731,54.5233,62.6298,60.1124
OVX_3m_II.tif,66.7879,37.9737,37.9527,26.4377,18.0387,19.3895,35.8916,44.4111,0.0000,70.4737,71.1006,70.5765,47.8001,29.2471,51.0212,70.7421,72.1088,70.9717,71.1503,71.1254,71.8430,70.8915,70.8618,71.4034,72.6747,80.7720,72.8801,29.6139,42.7836,21.2262,53.3453,27.2374,30.5315,63.5877,68.3037,65.3838
RANKL Ctrl I.tif,27.4633,53.2431,59.6022,63.0356,67.8953,71.6675,54.5789,66.6598,70.4737,0.0000,12.8233,3.9609,84.2735,73.6526,44.9441,4.5438,17.7898,7.3921,7.7108,9.1310,18.9898,5.6798,6.5314,12.1257,23.1798,44.9810,23.7881,79.7126,48.7699,77.2594,92.7499,70.0016,65.4735,29.3056,16.3825,18.2475
RANKL Ctrl II.tif,31.7281,55.5088,61.6888,65.0862,69.6082,73.4340,56.8404,68.5934,71.1006,12.8233,0.0000,12.8080,85.8158,74.4812,47.7109,9.9705,8.3581,8.8882,9.5086,7.8140,10.3158,9.3863,8.7007,7.1606,14.1947,39.2913,16.0561,81.2748,51.3120,78.8715,93.6104,71.8117,67.4985,33.3638,23.0835,23.0457
RANKL Ctrl.tif,27.8150,53.4033,59.7582,63.1475,67.9515,71.7840,54.7375,66.7835,70.5765,3.9609,12.8080,0.0000,84.3366,73.4688,45.1211,5.7288,17.6489,7.6413,7.4742,9.5718,19.2146,6.1047,6.7586,12.3679,23.4669,45.1754,24.1646,79.8379,48.9542,77.3138,92.5793,70.0959,65.4469,29.5696,16.4405,18.0719
RANKL_Tg_I.tif,78.3058,61.0777,49.7147,46.3206,43.3791,44.6141,59.3123,42.9623,47.8001,84.2735,85.8158,84.3366,0.0000,39.8528,68.4745,84.8340,87.7772,85.1728,85.2193,85.5330,87.6065,84.9923,85.1768,85.8481,88.4193,96.6125,88.6952,43.6225,60.8098,43.3864,51.3168,32.4789,43.1195,76.2607,81.2064,79.5669
RANKL_Tg_II.tif,72.3671,49.5663,39.6582,34.5942,24.1326,30.5131,47.9917,37.1527,29.2471,73.6526,74.4812,73.4688,39.8528,0.0000,58.9995,73.8492,75.1582,73.9638,74.0458,74.2782,75.9100,73.9739,73.8877,74.7444,77.4101,86.4180,77.5271,34.1808,50.9905,34.8019,48.0471,31.4411,31.7748,69.2930,72.4044,69.0004
RANKL_Tg_III.tif,29.3141,21.5609,31.5478,37.7157,46.0918,47.0182,22.1820,44.1922,51.0212,44.9441,47.7109,45.1211,68.4745,58.9995,0.0000,45.9724,51.2427,46.5662,46.7416,47.1893,50.9295,46.2334,46.6231,47.7555,52.3223,65.1229,52.7421,57.3714,15.8913,55.2873,79.8079,49.4948,43.3743,24.7440,37.3747,33.0447
